Feature,Importance
ssc_p,0.3021579339158507
degree_p,0.1987281074650535
hsc_p,0.16565541666148131
mba_p,0.1106150702019013
etest_p,0.07206344681219823
workex,0.03510631643292812
specialisation_Mkt&HR,0.027513468742833207
gender,0.019479814292878445
ssc_b,0.014806591578529033
degree_t_Others,0.011985993366282883
degree_t_Sci&Tech,0.01152469493593618
hsc_b,0.011390722997409519
hsc_s_Science,0.01021924356229806
hsc_s_Commerce,0.00875317903441937
